POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,sai sudharsan,257.5,12,0,0,68,20,7,0.0,0,GT
2,yashasvi jaiswal,251.0,13,0,0,55,26,9,0.0,0,RR
3,sunil narine,237.5,11,10,81,22,16,3,3.0,0,KKR
4,shubman gill,233.0,12,0,0,54,23,7,0.0,0,GT
5,surya kumar yadav,228.5,12,0,0,51,26,4,0.0,0,MI
6,nicholas pooran,224.0,11,0,0,34,34,8,0.0,0,LSG
7,jos buttler,223.5,12,0,0,49,22,7,1.5,2,GT
8,riyan parag,218.5,13,3,27,27,27,7,1.5,0,RR
9,prabhsimran singh,215.0,12,0,0,48,25,2,0.0,1,PBKS
10,axar patel,205.5,12,5,65,23,15,4,3.0,0,DC
11,prasidh krishna,204.0,12,21,118,0,0,5,0.0,0,GT
12,ravindra jadeja,202.5,12,8,69,24,9,5,1.5,0,CSK
13,ryan rickelton,197.5,12,0,0,42,15,10,7.5,3,MI
14,k l rahul,190.5,11,0,0,44,20,3,3.0,0,DC
15,mohammed siraj,187.5,12,15,125,0,0,4,0.0,0,GT
16,pat cummins,186.0,11,13,92,6,6,5,0.0,0,SRH
17,virat kohli,183.5,11,0,0,44,18,3,3.0,0,RCB
18,shreyas iyer,182.0,12,0,0,32,27,3,0.0,0,PBKS
19,priyansh arya,182.0,12,0,0,38,22,4,0.0,0,PBKS
20,marco jansen,180.5,12,13,96,3,4,7,0.0,0,PBKS
21,abhishek sharma,180.0,11,0,18,35,17,6,0.0,0,SRH
22,varun chakaravarthy,179.5,12,17,115,0,0,2,0.0,0,KKR
23,aiden markram,176.5,11,4,14,31,16,6,0.0,0,LSG
24,harshit rana,175.0,12,15,100,3,0,6,0.0,0,KKR
25,hardik pandya,174.5,11,13,59,15,7,2,3.0,0,MI
26,khaleel ahmed,173.5,12,14,119,0,0,1,3.0,0,CSK
27,jofra archer,172.5,12,11,110,3,4,1,0.0,0,RR
28,josh hazlewood,168.5,10,18,103,0,0,1,0.0,0,RCB
29,arshdeep singh,166.5,12,16,105,0,0,1,3.0,0,PBKS
30,noor ahmad,166.0,12,20,91,0,0,2,0.0,0,CSK
31,ajinkya rahane,165.0,12,0,0,33,20,5,0.0,0,KKR
32,trent boult,162.5,12,18,97,0,0,1,0.0,0,MI
33,mitchell marsh,162.5,10,0,0,36,20,1,0.0,0,LSG
34,vipraj nigam,156.5,12,9,61,12,7,2,4.5,0,DC
35,andre russell,154.0,12,8,27,16,14,4,0.0,0,KKR
36,vaibhav arora,153.0,11,16,84,0,0,4,3.0,0,KKR
37,mitchell starc,151.5,11,14,85,0,0,7,0.0,0,DC
38,krunal pandya,148.0,11,14,60,7,4,3,0.0,0,RCB
39,deepak chahar,146.0,12,10,90,3,2,2,1.5,0,MI
40,bhuvneshwar kumar,143.0,10,12,92,1,0,2,1.5,0,RCB
41,travis head,141.5,11,0,0,41,9,3,0.0,0,SRH
42,kuldeep yadav,138.0,12,12,91,2,0,0,0.0,0,DC
43,heinrich klaasen,137.5,11,0,0,29,13,6,4.5,0,SRH
44,will jacks,136.0,11,5,28,17,9,6,1.5,0,MI
45,phil salt,135.5,9,0,0,30,13,6,0.0,0,RCB
46,jasprit bumrah,134.5,8,13,84,0,0,2,0.0,0,MI
47,dhruv jurel,133.0,13,0,0,20,19,6,1.5,0,RR
48,rohit sharma,132.0,11,0,0,28,17,1,0.0,0,MI
49,digvesh singh,129.5,11,12,85,0,0,1,0.0,0,LSG
50,nehal wadhera,129.0,11,0,1,22,18,4,0.0,0,PBKS
51,rashid khan,127.0,12,8,78,1,2,4,1.5,0,GT
52,sai kishore,126.0,12,15,61,0,0,5,0.0,0,GT
53,ayush badoni,124.0,11,0,0,27,14,3,0.0,0,LSG
54,abishek porel,121.5,12,0,0,28,12,2,4.5,0,DC
55,yuzvendra chahal,117.0,12,14,63,0,0,2,0.0,0,PBKS
56,matheesha pathirana,117.0,10,12,70,0,0,2,0.0,0,CSK
57,harshal patel,116.5,10,14,61,0,0,2,1.5,0,SRH
