Teams,M,W,L,N/R,PT,NRR,Series Form,Next,For,Against,Unnamed: 11
Gujarat Titans,14,9,5,0,18,0.254,WWWLL,-,2684/271.5,2639/274.2,
Punjab Kings,13,8,4,1,17,0.327,NRWWWL,vs MI,2260/228.1,2211/230.5,
Royal Challengers Bengaluru,13,8,4,1,17,0.255,WWWAL,vs LSG,2127/225.1,2094/227.5,
Mumbai Indians,13,8,5,0,16,1.292,WWWLW,vs PBKS,2288/241.2,2114/258.1,
Delhi Capitals,14,7,6,1,15,0.011,LNRLLW,-,2354/250.4,2409/256.5,
Sunrisers Hyderabad,14,6,7,1,13,-0.241,LNRWWW,-,2519/255.3,2451/242.4,
Lucknow Super Giants,13,6,7,0,12,-0.337,LLLLW,vs RCB,2505/255.4,2549/251.3,
Kolkata Knight Riders,14,5,7,2,12,-0.305,WWLAL,-,1995/227.4,2075/228.5,
Rajasthan Royals,14,4,10,0,8,-0.549,WLLLW,-,2603/273.0,2773/275.0,
Chennai Super Kings,14,4,10,0,8,-0.647,LLWLW,-,2441/278.2,2461/261.2,
