Mahaarajan,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63,day_64,day_65,day_66,day_67,day_68
virat kohli,20.5,20.5,20.5,20.5,20.5,20.5,29.0,29.0,29.0,29.0,29.0,31.5,31.5,31.5,31.5,31.5,61.0,61.0,61.0,70.5,70.5,70.5,90.0,90.0,90.0,90.0,90.0,90.0,90.0,112.5,112.5,112.5,112.5,139.5,139.5,139.5,153.5,153.5,153.5,153.5,153.5,153.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,204.5,204.5,204.5,204.5,229.5,229.5
arshdeep singh,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,39.5,39.5,39.5,39.5,53.0,53.0,53.0,59.0,59.0,59.0,59.0,73.5,73.5,73.5,87.0,87.0,87.0,102.0,102.0,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,130.5,130.5,130.5,130.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,166.5,166.5,166.5,166.5,166.5,166.5,175.0,175.0,195.5,195.5,195.5
washington sundar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,19.5,19.5,19.5,19.5,19.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,48.0,48.0,48.0,48.0,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5
hardik pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,35.0,35.0,35.0,35.0,71.0,71.0,71.0,107.5,107.5,107.5,107.5,107.5,107.5,111.5,111.5,111.5,111.5,132.0,132.0,132.0,136.0,136.0,136.0,145.5,145.5,145.5,145.5,147.5,147.5,147.5,147.5,173.5,173.5,173.5,173.5,173.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,174.5,187.5,187.5,187.5
mohsin khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tim david,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,27.5,27.5,27.5,27.5,27.5,32.5,32.5,32.5,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,82.0,82.0,87.0,87.0,87.0,87.0,97.0,97.0,97.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
shamar joseph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
devdutt padikkal,2.5,2.5,2.5,2.5,2.5,2.5,14.5,14.5,14.5,14.5,14.5,17.0,17.0,17.0,17.0,17.0,32.5,32.5,32.5,32.5,32.5,32.5,51.0,51.0,51.0,51.0,51.0,51.0,51.0,77.5,77.5,77.5,77.5,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0
rishabh pant,0.0,0.0,6.5,6.5,6.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,15.0,15.0,15.0,15.0,25.0,25.0,49.0,49.0,49.0,49.0,49.0,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,54.0,54.0,54.0,54.0,54.0,54.0,54.0,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,67.5,67.5,67.5,74.5,74.5,74.5,74.5,74.5,130.0,130.0
rasikh dar,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
jacob bethell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,8.5,8.5,8.5,8.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5
