Niranjini,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63,day_64,day_65,day_66,day_67,day_68,day_69,day_70,day_71,day_72,day_73,day_74,day_75
travis head,0.0,33.0,33.0,33.0,33.0,56.0,56.0,56.0,66.0,66.0,66.0,66.0,68.5,68.5,68.5,73.5,73.5,73.5,73.5,73.5,73.5,109.0,109.0,109.0,109.0,109.0,121.5,121.5,121.5,121.5,121.5,121.5,121.5,121.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,149.0,149.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0
abhishek sharma,0.0,18.5,18.5,18.5,18.5,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,41.0,41.0,41.0,41.0,41.0,41.0,111.0,111.0,111.0,111.0,111.0,128.5,128.5,128.5,128.5,128.5,128.5,134.5,134.5,144.5,144.5,144.5,144.5,144.5,144.5,144.5,178.0,178.0,178.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,211.0,211.0,211.0,211.0,231.5,231.5,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0
heinrich klaasen,0.0,18.5,18.5,18.5,18.5,27.0,27.0,27.0,39.0,39.0,39.0,39.0,59.0,59.0,59.0,70.0,70.0,70.0,70.0,70.0,70.0,78.5,78.5,78.5,78.5,78.5,93.0,93.0,93.0,93.0,93.0,93.0,122.5,122.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,151.0,151.0,151.0,151.0,165.5,165.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5
mukesh kumar,0.0,0.0,7.5,7.5,7.5,7.5,7.5,7.5,10.5,10.5,10.5,10.5,10.5,10.5,21.5,21.5,21.5,21.5,21.5,35.0,35.0,35.0,47.5,47.5,47.5,52.5,52.5,52.5,62.0,62.0,62.0,89.5,89.5,89.5,89.5,89.5,96.5,96.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,119.0,119.0,119.0,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5
harpreet brar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,52.5,52.5,52.5,52.5,52.5,52.5,68.0,68.0,76.5,76.5,76.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5
wanindu hasaranga,0.0,0.0,0.0,0.0,5.5,5.5,5.5,5.5,31.5,31.5,31.5,31.5,31.5,31.5,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,49.0,49.0,49.0,61.0,61.0,61.0,76.0,76.0,76.0,76.0,76.0,83.5,83.5,83.5,83.5,88.5,88.5,88.5,88.5,88.5,88.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,98.5,98.5,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0
rahul chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
jitesh sharma,10.0,10.0,10.0,10.0,10.0,10.0,18.5,18.5,18.5,18.5,18.5,37.0,37.0,37.0,37.0,37.0,56.0,56.0,56.0,61.0,61.0,61.0,63.5,63.5,63.5,63.5,63.5,66.0,66.0,71.0,71.0,71.0,71.0,90.0,90.0,90.0,92.5,92.5,92.5,92.5,92.5,92.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,107.0,107.0,107.0,107.0,150.5,150.5,158.0,158.0,158.0,158.0,158.0,172.5,172.5
bhuvneshwar kumar,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,28.0,28.0,28.0,28.0,28.0,40.5,40.5,40.5,59.5,59.5,59.5,71.0,71.0,71.0,71.0,71.0,87.5,87.5,96.5,96.5,96.5,96.5,113.5,113.5,113.5,138.0,138.0,138.0,138.0,138.0,138.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,158.0,158.0,158.0,158.0,169.5,169.5,180.5,180.5,180.5,180.5,180.5,199.0,199.0
yuzvendra chahal,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,22.5,22.5,22.5,22.5,29.0,29.0,29.0,57.0,57.0,57.0,71.0,71.0,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,98.5,98.5,98.5,98.5,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,127.5,127.5,134.0,134.0
