Priyanka,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55
venkatesh iyer,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,35.5,35.5,35.5,35.5,35.5,54.0,54.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,60.5,60.5,60.5,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
sunil narine,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,36.5,36.5,36.5,55.0,55.0,55.0,55.0,55.0,78.0,78.0,78.0,123.0,123.0,123.0,123.0,141.5,141.5,141.5,141.5,141.5,141.5,154.0,154.0,154.0,154.0,154.0,162.5,162.5,162.5,200.5,200.5,200.5,200.5,200.5,215.0,215.0,215.0,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
andre russell,2.5,2.5,2.5,2.5,5.0,5.0,5.0,5.0,5.0,18.5,18.5,18.5,31.0,31.0,31.0,31.0,31.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,51.5,51.5,51.5,51.5,51.5,51.5,68.0,68.0,68.0,68.0,68.0,75.5,75.5,75.5,95.0,95.0,95.0,95.0,95.0,128.5,128.5,128.5,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0
t natarajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.5,7.5,0.0,0.0,0.0
akash deep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,10.5,10.5,26.5,26.5,26.5,26.5,30.5,30.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
abishek porel,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,13.5,13.5,13.5,13.5,13.5,13.5,27.0,27.0,27.0,27.0,27.0,29.5,29.5,29.5,43.0,43.0,43.0,59.0,59.0,59.0,70.0,70.0,70.0,86.0,86.0,86.0,86.0,86.0,98.0,98.0,106.0,106.0,106.0,106.0,106.0,106.0,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5,108.5
sherfane rutherford,0.0,0.0,0.0,20.5,20.5,20.5,20.5,27.5,27.5,27.5,27.5,40.5,40.5,40.5,40.5,59.0,59.0,59.0,62.5,62.5,62.5,70.0,70.0,70.0,70.0,70.0,70.0,70.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
manish pandey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
ajinkya rahane,29.0,29.0,29.0,29.0,37.5,37.5,37.5,37.5,37.5,46.0,46.0,46.0,65.0,65.0,65.0,65.0,65.0,92.0,92.0,92.0,100.5,100.5,100.5,100.5,106.5,106.5,106.5,106.5,106.5,106.5,122.5,122.5,122.5,122.5,122.5,122.5,122.5,122.5,136.0,136.0,136.0,136.0,136.0,148.0,148.0,148.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0
shimron hetmyer,0.0,19.0,19.0,19.0,21.5,21.5,21.5,21.5,32.5,32.5,32.5,32.5,32.5,32.5,46.0,46.0,46.0,46.0,66.5,66.5,66.5,66.5,69.0,69.0,69.0,74.0,74.0,74.0,81.5,81.5,81.5,81.5,81.5,88.0,88.0,88.0,88.0,90.5,90.5,90.5,90.5,90.5,90.5,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
