Shashaank,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39
glenn maxwell,0.0,0.0,0.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,23.0,23.0,23.0,23.0,42.0,42.0,42.0,49.5,49.5,49.5,49.5,55.0,55.0,55.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,70.5,70.5,70.5,70.5
marcus stoinis,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,17.5,17.5,17.5,17.5,21.5,21.5,21.5,23.5,23.5,23.5,23.5,42.0,42.0,42.0,42.0,42.0,42.0,45.5,45.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5
shreyas iyer,0.0,0.0,0.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,65.5,65.5,65.5,65.5,73.0,73.0,73.0,76.5,76.5,76.5,76.5,112.5,112.5,112.5,115.0,115.0,115.0,115.0,115.0,117.5,117.5,117.5,117.5,117.5,117.5,123.5,123.5,123.5,123.5
rahul tripathi,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,16.0,16.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
vaibhav arora,7.5,7.5,7.5,7.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,46.0,46.0,46.0,46.0,46.0,55.0,55.0,55.0,73.5,73.5,73.5,73.5,82.5,82.5,82.5,82.5,82.5,82.5,93.0,93.0,93.0,93.0,93.0,111.5,111.5,111.5,120.0
mukesh choudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
shahrukh khan,0.0,0.0,0.0,3.5,3.5,3.5,3.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,24.0,24.0,24.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,38.5,38.5
robin minz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ishan kishan,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,56.0,56.0,56.0,56.0,56.0,56.0,58.5,58.5,58.5,58.5,58.5,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,79.5,79.5,79.5,79.5,79.5
jake fraser-mcgurk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,24.5,24.5,24.5,24.5,24.5,27.0,27.0,27.0,27.0,27.0,27.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
jofra archer,0.0,3.5,3.5,3.5,17.5,17.5,17.5,17.5,34.0,34.0,34.0,34.0,34.0,34.0,58.5,58.5,58.5,58.5,72.0,72.0,72.0,72.0,83.0,83.0,83.0,100.0,100.0,100.0,112.5,112.5,112.5,112.5,112.5,128.0,128.0,128.0,128.0,137.5,137.5
rashid khan,0.0,0.0,0.0,11.5,11.5,11.5,11.5,19.0,19.0,19.0,19.0,25.0,25.0,25.0,25.0,36.5,36.5,36.5,60.5,60.5,60.5,71.0,71.0,71.0,71.0,71.0,71.0,71.0,74.0,74.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,105.5,105.5
