Srikumar,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48
yashasvi jaiswal,0.0,5.0,5.0,5.0,17.0,17.0,17.0,17.0,22.0,22.0,22.0,22.0,22.0,22.0,49.5,49.5,49.5,49.5,54.5,54.5,54.5,54.5,89.0,89.0,89.0,113.0,113.0,113.0,139.5,139.5,139.5,139.5,139.5,167.5,167.5,167.5,167.5,197.0,197.0,197.0,206.5,206.5,206.5,222.5,222.5,222.5,222.5,222.5
nitish rana,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,47.5,47.5,47.5,47.5,47.5,47.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,55.0,55.0,55.0,77.0,77.0,77.0,80.5,80.5,80.5,80.5,80.5,96.5,96.5,96.5,96.5,99.0,99.0,99.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0
deepak chahar,0.0,22.0,22.0,22.0,22.0,22.0,22.0,34.5,34.5,47.5,47.5,47.5,47.5,52.0,52.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,63.5,63.5,63.5,63.5,72.5,72.5,72.5,87.0,87.0,87.0,111.0,111.0,111.0,111.0,119.0,119.0,119.0,119.0,134.0,134.0,134.0,134.0,134.0,146.0,146.0,146.0
maheesh theekshana,0.0,15.0,15.0,15.0,27.5,27.5,27.5,27.5,31.5,31.5,31.5,31.5,31.5,31.5,47.5,47.5,47.5,47.5,59.5,59.5,59.5,59.5,61.5,61.5,61.5,72.0,72.0,72.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,90.0,90.0,90.0,99.5,99.5,99.5,112.0,112.0,112.0,112.0,112.0
rohit sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,17.0,17.0,17.0,17.0,17.0,17.0,25.5,25.5,25.5,25.5,36.0,36.0,36.0,67.0,67.0,67.0,97.5,97.5,97.5,97.5,104.5,104.5,104.5,104.5,129.5,129.5,129.5,129.5,129.5,132.0,132.0,132.0
jos buttler,0.0,0.0,0.0,17.0,17.0,17.0,17.0,33.0,33.0,33.0,33.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,84.0,84.0,84.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,135.5,135.5,160.5,160.5,160.5,160.5,160.5,160.5,160.5,182.0,182.0,182.0,182.0,208.5,208.5,208.5,208.5,221.0,221.0,221.0
devon conway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,27.0,27.0,27.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,34.5,34.5
tristan stubbs,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,29.0,29.0,29.0,29.0,29.0,29.0,40.0,40.0,40.0,40.0,40.0,53.5,53.5,53.5,56.0,56.0,56.0,70.0,70.0,70.0,81.0,81.0,81.0,83.5,83.5,83.5,83.5,83.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,109.5,109.5,109.5,109.5
rachin ravindra,0.0,19.0,19.0,19.0,19.0,19.0,34.0,34.0,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,51.5,51.5,51.5,51.5,51.5,51.5,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
sandeep sharma,0.0,8.5,8.5,8.5,12.5,12.5,12.5,12.5,18.0,18.0,18.0,18.0,18.0,18.0,35.5,35.5,35.5,35.5,45.0,45.0,45.0,45.0,48.0,48.0,48.0,56.5,56.5,56.5,66.0,66.0,66.0,66.0,66.0,79.0,79.0,79.0,79.0,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5
rahul tewatia,0.0,0.0,0.0,3.5,3.5,3.5,3.5,6.0,6.0,6.0,6.0,8.5,8.5,8.5,8.5,11.0,11.0,11.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,29.0,29.0,31.5,31.5,31.5,31.5,31.5,31.5,31.5,35.0,35.0,35.0,35.0,38.5,38.5,38.5,38.5,41.0,41.0,41.0
dhruv jurel,0.0,33.5,33.5,33.5,46.0,46.0,46.0,46.0,48.5,48.5,48.5,48.5,48.5,48.5,57.0,57.0,57.0,57.0,59.5,59.5,59.5,59.5,71.5,71.5,71.5,81.0,81.0,81.0,83.5,83.5,83.5,83.5,83.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,109.0,109.0,109.0,111.5,111.5,111.5,111.5,111.5
