Sriram,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
k l rahul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,36.5,36.5,36.5,36.5,36.5,81.5,81.5,81.5,84.0,84.0,84.0,97.5,97.5,97.5,111.0,111.0,111.0
mitchell starc,0.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,51.5,51.5,51.5,51.5,51.5,51.5,67.0,67.0,67.0,67.0,67.0,78.5,78.5,78.5,86.0,86.0,86.0,99.0,99.0,99.0,105.5,105.5,105.5
axar patel,0.0,0.0,19.5,19.5,19.5,19.5,19.5,19.5,31.5,31.5,31.5,31.5,31.5,31.5,43.5,43.5,43.5,43.5,43.5,59.0,59.0,59.0,68.0,68.0,68.0,99.0,99.0,99.0,111.5,111.5,111.5
mohammed siraj,0.0,0.0,0.0,10.0,10.0,10.0,10.0,31.5,31.5,31.5,31.5,56.0,56.0,56.0,56.0,87.0,87.0,87.0,105.5,105.5,105.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,123.5,123.5,140.0
rinku singh,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,24.5,24.5,24.5,24.5,24.5,49.0,49.0,49.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,63.5
will jacks,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,21.5,21.5,21.5,21.5,21.5,21.5,21.5,34.5,34.5,34.5,34.5,34.5,34.5,38.5,38.5,38.5,38.5,69.0,69.0,69.0,74.5,74.5
shashank singh,0.0,0.0,0.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,42.5,42.5,42.5,42.5,45.5,45.5,45.5,51.5,51.5,51.5,51.5,51.5,54.0,54.0
angkrish raghuvanshi,0.0,8.5,8.5,8.5,16.0,16.0,16.0,16.0,16.0,27.0,27.0,27.0,46.5,46.5,46.5,46.5,46.5,49.0,49.0,49.0,49.0,49.0,49.0,49.0,65.0,65.0,65.0,65.0,65.0,65.0,76.0
mohit sharma,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,14.5,14.5,14.5,14.5,14.5,14.5,17.5,17.5,17.5,17.5,17.5,26.0,26.0,26.0,29.0,29.0,29.0,34.0,34.0,34.0,35.0,35.0,35.0
kagiso rabada,0.0,0.0,0.0,11.5,11.5,11.5,11.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
phil salt,29.5,29.5,29.5,29.5,29.5,29.5,53.0,53.0,53.0,53.0,53.0,59.0,59.0,59.0,59.0,59.0,64.0,64.0,64.0,84.5,84.5,84.5,118.0,118.0,118.0,118.0,118.0,123.0,123.0,123.0,123.0
karun nair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,47.5,47.5,47.5,47.5,47.5,62.5,62.5,62.5
