Sudarshan,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57
matheesha pathirana,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,37.5,37.5,37.5,37.5,37.5,37.5,48.5,48.5,48.5,52.5,52.5,52.5,52.5,52.5,52.5,69.5,69.5,69.5,69.5,69.5,69.5,71.5,71.5,71.5,71.5,71.5,80.5,80.5,80.5,80.5,80.5,93.5,93.5,93.5,114.0,114.0,114.0,114.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
ruturaj gaikwad,0.0,28.0,28.0,28.0,28.0,28.0,30.5,30.5,54.0,54.0,54.0,54.0,54.0,54.0,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5
noor ahmad,0.0,26.0,26.0,26.0,26.0,26.0,43.5,43.5,59.5,59.5,59.5,59.5,59.5,59.5,65.0,65.0,65.0,72.5,72.5,72.5,83.0,83.0,83.0,96.0,96.0,96.0,96.0,96.0,96.0,99.0,99.0,99.0,99.0,99.0,113.0,113.0,113.0,113.0,113.0,124.0,124.0,124.0,140.5,140.5,140.5,140.5,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0
abhinav manohar,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
mohammed shami,0.0,11.5,11.5,11.5,11.5,22.5,22.5,22.5,29.5,29.5,29.5,29.5,44.0,44.0,44.0,63.5,63.5,63.5,63.5,63.5,63.5,66.5,66.5,66.5,66.5,66.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5
deepak hooda,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
shahbaz ahamad,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
pat cummins,0.0,9.0,9.0,9.0,9.0,38.0,38.0,38.0,40.0,40.0,40.0,40.0,59.5,59.5,59.5,82.0,82.0,82.0,82.0,82.0,82.0,93.5,93.5,93.5,93.5,93.5,120.5,120.5,120.5,120.5,120.5,120.5,127.5,127.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,159.0,159.0,159.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0
ms dhoni,0.0,2.5,2.5,2.5,2.5,2.5,19.5,19.5,28.0,28.0,28.0,28.0,28.0,28.0,38.0,38.0,38.0,53.5,53.5,53.5,53.5,53.5,53.5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,77.5,77.5,77.5,77.5,77.5,86.0,86.0,86.0,89.5,89.5,89.5,89.5,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
akash madhwal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
david miller,0.0,0.0,12.0,12.0,12.0,19.5,19.5,19.5,19.5,19.5,27.0,27.0,27.0,38.0,38.0,38.0,38.0,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,45.5,45.5,45.5,45.5,45.5,53.0,53.0,53.0,53.0,53.0,53.0,53.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
nehal wadhera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,21.5,21.5,21.5,42.0,42.0,42.0,45.5,45.5,45.5,45.5,54.0,54.0,54.0,59.0,59.0,59.0,79.5,79.5,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,88.0,88.0,88.0,88.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
