Arvindh,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41
matheesha pathirana,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,37.5,37.5,37.5,37.5,37.5,37.5,48.5,48.5,48.5,52.5,52.5,52.5,52.5,52.5,52.5,69.5,69.5,69.5,69.5,69.5,69.5,71.5,71.5,71.5,71.5,71.5,80.5,80.5,80.5,80.5,80.5,93.5,93.5
ruturaj gaikwad,0.0,28.0,28.0,28.0,28.0,28.0,30.5,30.5,54.0,54.0,54.0,54.0,54.0,54.0,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5
ravindra jadeja,0.0,13.0,13.0,13.0,13.0,13.0,29.0,29.0,44.0,44.0,44.0,44.0,44.0,44.0,55.5,55.5,55.5,66.0,66.0,66.0,66.0,66.0,66.0,79.0,79.0,79.0,79.0,79.0,79.0,105.5,105.5,105.5,105.5,105.5,124.0,124.0,124.0,124.0,124.0,146.0,146.0
rasikh dar,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
jamie overton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,9.5,9.5,9.5,9.5,9.5,9.5,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
corbin bosch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,31.0,41.0
rahul tewatia,0.0,0.0,0.0,3.5,3.5,3.5,3.5,6.0,6.0,6.0,6.0,8.5,8.5,8.5,8.5,11.0,11.0,11.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,29.0,29.0,31.5,31.5,31.5,31.5,31.5,31.5,31.5,35.0,35.0,35.0,35.0
sandeep sharma,0.0,8.5,8.5,8.5,12.5,12.5,12.5,12.5,18.0,18.0,18.0,18.0,18.0,18.0,35.5,35.5,35.5,35.5,45.0,45.0,45.0,45.0,48.0,48.0,48.0,56.5,56.5,56.5,66.0,66.0,66.0,66.0,66.0,79.0,79.0,79.0,79.0,89.5,89.5,89.5,89.5
anrich nortje,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
maheesh theekshana,0.0,15.0,15.0,15.0,27.5,27.5,27.5,27.5,31.5,31.5,31.5,31.5,31.5,31.5,47.5,47.5,47.5,47.5,59.5,59.5,59.5,59.5,61.5,61.5,61.5,72.0,72.0,72.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,90.0,90.0,90.0,99.5
abishek porel,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,13.5,13.5,13.5,13.5,13.5,13.5,27.0,27.0,27.0,27.0,27.0,29.5,29.5,29.5,43.0,43.0,43.0,59.0,59.0,59.0,70.0,70.0,70.0,86.0,86.0,86.0,86.0,86.0,98.0,98.0,106.0,106.0,106.0
shimron hetmyer,0.0,19.0,19.0,19.0,21.5,21.5,21.5,21.5,32.5,32.5,32.5,32.5,32.5,32.5,46.0,46.0,46.0,46.0,66.5,66.5,66.5,66.5,69.0,69.0,69.0,74.0,74.0,74.0,81.5,81.5,81.5,81.5,81.5,88.0,88.0,88.0,88.0,90.5,90.5,90.5,90.5
andre siddarth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
