Kumar & Akash,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43
shubman gill,0.0,0.0,0.0,15.5,15.5,15.5,15.5,31.5,31.5,31.5,31.5,37.5,37.5,37.5,37.5,60.0,60.0,60.0,62.5,62.5,62.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,86.0,86.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,150.5,150.5,150.5,150.5,182.5,182.5
jos buttler,0.0,0.0,0.0,17.0,17.0,17.0,17.0,33.0,33.0,33.0,33.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,84.0,84.0,84.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,135.5,135.5,160.5,160.5,160.5,160.5,160.5,160.5,160.5,182.0,182.0,182.0,182.0,208.5,208.5
rashid khan,0.0,0.0,0.0,11.5,11.5,11.5,11.5,19.0,19.0,19.0,19.0,25.0,25.0,25.0,25.0,36.5,36.5,36.5,60.5,60.5,60.5,71.0,71.0,71.0,71.0,71.0,71.0,71.0,74.0,74.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,105.5,105.5,105.5,105.5,109.0,109.0
deepak chahar,0.0,22.0,22.0,22.0,22.0,22.0,22.0,34.5,34.5,47.5,47.5,47.5,47.5,52.0,52.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,63.5,63.5,63.5,63.5,72.5,72.5,72.5,87.0,87.0,87.0,111.0,111.0,111.0,111.0,119.0,119.0,119.0,119.0,134.0,134.0,134.0
ravichandran ashwin,0.0,9.5,9.5,9.5,9.5,9.5,18.5,18.5,33.0,33.0,33.0,33.0,33.0,33.0,39.5,39.5,39.5,56.0,56.0,56.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
deepak hooda,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
vijay shankar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,22.0,22.0,22.0,24.5,24.5,24.5,33.0,33.0,33.0,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5
riyan parag,0.0,7.5,7.5,7.5,26.5,26.5,26.5,26.5,41.0,41.0,41.0,41.0,41.0,41.0,59.0,59.0,59.0,59.0,72.0,72.0,72.0,72.0,84.0,84.0,84.0,90.0,90.0,90.0,107.0,107.0,107.0,107.0,107.0,124.0,124.0,124.0,124.0,141.0,141.0,141.0,157.0,157.0,157.0
sameer rizvi,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
tushar deshpande,0.0,18.5,18.5,18.5,23.0,23.0,23.0,23.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,45.0,45.0,45.0,45.0,48.0,48.0,48.0,50.0,50.0,50.0,61.5,61.5,61.5,61.5,61.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5
b. sai sudharsan,0.0,0.0,0.0,36.0,36.0,36.0,36.0,53.0,53.0,53.0,53.0,74.0,74.0,74.0,74.0,79.0,79.0,79.0,114.5,114.5,114.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,151.5,151.5,170.0,170.0,170.0,170.0,170.0,170.0,170.0,183.5,183.5,183.5,183.5,206.0,206.0
josh hazlewood,23.0,23.0,23.0,23.0,23.0,23.0,48.5,48.5,48.5,48.5,48.5,62.0,62.0,62.0,62.0,62.0,81.0,81.0,81.0,83.0,83.0,83.0,93.5,93.5,93.5,93.5,93.5,114.0,114.0,120.0,120.0,120.0,120.0,149.0,149.0,149.0,168.5,168.5,168.5,168.5,168.5,168.5,168.5
rahul tripathi,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,16.0,16.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
