Manav,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43
mitchell marsh,0.0,0.0,36.0,36.0,36.0,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,90.0,90.0,90.0,90.0,122.5,122.5,122.5,122.5,122.5,122.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,145.5,145.5,145.5,145.5,145.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5
priyansh arya,0.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,81.0,81.0,81.0,81.0,100.0,100.0,100.0,111.0,111.0,111.0,119.5,119.5,130.5,130.5,130.5,130.5,130.5,130.5,164.5,164.5,164.5,164.5,179.5,179.5,179.5,179.5
glenn philipps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaibhav arora,7.5,7.5,7.5,7.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,46.0,46.0,46.0,46.0,46.0,55.0,55.0,55.0,73.5,73.5,73.5,73.5,82.5,82.5,82.5,82.5,82.5,82.5,93.0,93.0,93.0,93.0,93.0,111.5,111.5,111.5,120.0,120.0,120.0,120.0,120.0
dhruv jurel,0.0,33.5,33.5,33.5,46.0,46.0,46.0,46.0,48.5,48.5,48.5,48.5,48.5,48.5,57.0,57.0,57.0,57.0,59.5,59.5,59.5,59.5,71.5,71.5,71.5,81.0,81.0,81.0,83.5,83.5,83.5,83.5,83.5,105.5,105.5,105.5,105.5,105.5,105.5,105.5,109.0,109.0,109.0
arshdeep singh,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,39.5,39.5,39.5,39.5,53.0,53.0,53.0,59.0,59.0,59.0,59.0,73.5,73.5,73.5,87.0,87.0,87.0,102.0,102.0,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,130.5,130.5,130.5,130.5
rahul chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
rohit sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,17.0,17.0,17.0,17.0,17.0,17.0,25.5,25.5,25.5,25.5,36.0,36.0,36.0,67.0,67.0,67.0,97.5,97.5,97.5,97.5,104.5,104.5,104.5,104.5,129.5,129.5,129.5
devdutt padikkal,2.5,2.5,2.5,2.5,2.5,2.5,14.5,14.5,14.5,14.5,14.5,17.0,17.0,17.0,17.0,17.0,32.5,32.5,32.5,32.5,32.5,32.5,51.0,51.0,51.0,51.0,51.0,51.0,51.0,77.5,77.5,77.5,77.5,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,104.0
akash deep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,10.5,10.5,26.5,26.5,26.5,26.5,30.5,30.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
mohammed siraj,0.0,0.0,0.0,10.0,10.0,10.0,10.0,31.5,31.5,31.5,31.5,56.0,56.0,56.0,56.0,87.0,87.0,87.0,105.5,105.5,105.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5,123.5,123.5,140.0,140.0,140.0,140.0,140.0,140.0,140.0,144.0,144.0,144.0,144.0,163.5,163.5
nicholas pooran,0.0,0.0,44.5,44.5,44.5,83.0,83.0,83.0,83.0,83.0,102.5,102.5,102.5,108.5,108.5,108.5,108.5,156.5,156.5,156.5,156.5,186.0,186.0,193.5,193.5,193.5,193.5,193.5,198.5,198.5,198.5,203.5,203.5,203.5,203.5,203.5,219.0,219.0,219.0,219.0,219.0,219.0,219.0
adam zampa,0.0,10.5,10.5,10.5,10.5,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
