Mira & Arjun,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60
n tilak varma,0.0,14.5,14.5,14.5,14.5,14.5,14.5,28.0,28.0,30.5,30.5,30.5,30.5,35.5,35.5,35.5,59.5,59.5,59.5,59.5,59.5,59.5,85.0,85.0,85.0,85.0,92.5,92.5,92.5,95.0,95.0,95.0,97.5,97.5,97.5,97.5,102.5,102.5,102.5,102.5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
surya kumar yadav,0.0,8.5,8.5,8.5,8.5,8.5,8.5,25.0,25.0,39.5,39.5,39.5,39.5,65.5,65.5,65.5,78.0,78.0,78.0,78.0,78.0,78.0,100.0,100.0,100.0,100.0,112.0,112.0,112.0,144.5,144.5,144.5,164.0,164.0,164.0,164.0,190.5,190.5,190.5,190.5,216.0,216.0,216.0,216.0,216.0,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5
trent boult,0.0,4.0,4.0,4.0,4.0,4.0,4.0,13.5,13.5,31.0,31.0,31.0,31.0,42.5,42.5,42.5,57.5,57.5,57.5,57.5,57.5,57.5,62.5,62.5,62.5,62.5,72.0,72.0,72.0,79.0,79.0,79.0,105.0,105.0,105.0,105.0,126.5,126.5,126.5,126.5,144.5,144.5,144.5,144.5,144.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5
kamlesh nagarkoti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noor ahmad,0.0,26.0,26.0,26.0,26.0,26.0,43.5,43.5,59.5,59.5,59.5,59.5,59.5,59.5,65.0,65.0,65.0,72.5,72.5,72.5,83.0,83.0,83.0,96.0,96.0,96.0,96.0,96.0,96.0,99.0,99.0,99.0,99.0,99.0,113.0,113.0,113.0,113.0,113.0,124.0,124.0,124.0,140.5,140.5,140.5,140.5,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,173.5
shahbaz ahamad,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
anuj rawat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anshul kamboj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,35.5,35.5,35.5,35.5,35.5,38.5,38.5,38.5,45.5,45.5,45.5,45.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,69.5
jake fraser-mcgurk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,24.5,24.5,24.5,24.5,24.5,27.0,27.0,27.0,27.0,27.0,27.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
sam curran,0.0,2.0,2.0,2.0,2.0,2.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,19.5,19.5,19.5,19.5,19.5,59.0,59.0,59.0,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5
