Niranjini,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63,day_64,day_65,day_66,day_67,day_68
yashasvi jaiswal,0.0,5.0,5.0,5.0,17.0,17.0,17.0,17.0,22.0,22.0,22.0,22.0,22.0,22.0,49.5,49.5,49.5,49.5,54.5,54.5,54.5,54.5,89.0,89.0,89.0,113.0,113.0,113.0,139.5,139.5,139.5,139.5,139.5,167.5,167.5,167.5,167.5,197.0,197.0,197.0,206.5,206.5,206.5,222.5,222.5,222.5,222.5,222.5,222.5,222.5,222.5,222.5,222.5,222.5,222.5,222.5,222.5,251.0,251.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0
sanju samson,0.0,31.5,31.5,31.5,36.5,36.5,36.5,36.5,42.5,42.5,42.5,42.5,42.5,42.5,57.5,57.5,57.5,57.5,82.0,82.0,82.0,82.0,84.5,84.5,84.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,111.0,111.0,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5
sunil narine,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,36.5,36.5,36.5,55.0,55.0,55.0,55.0,55.0,78.0,78.0,78.0,123.0,123.0,123.0,123.0,141.5,141.5,141.5,141.5,141.5,141.5,154.0,154.0,154.0,154.0,154.0,162.5,162.5,162.5,200.5,200.5,200.5,200.5,200.5,215.0,215.0,215.0,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,270.5,270.5,270.5,270.5
mukesh kumar,0.0,0.0,7.5,7.5,7.5,7.5,7.5,7.5,10.5,10.5,10.5,10.5,10.5,10.5,21.5,21.5,21.5,21.5,21.5,35.0,35.0,35.0,47.5,47.5,47.5,52.5,52.5,52.5,62.0,62.0,62.0,89.5,89.5,89.5,89.5,89.5,96.5,96.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,119.0,119.0,119.0,131.5,131.5,131.5,131.5,131.5
marcus stoinis,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,17.5,17.5,17.5,17.5,21.5,21.5,21.5,23.5,23.5,23.5,23.5,42.0,42.0,42.0,42.0,42.0,42.0,45.5,45.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,76.0,76.0,76.0,76.0,76.0
jofra archer,0.0,3.5,3.5,3.5,17.5,17.5,17.5,17.5,34.0,34.0,34.0,34.0,34.0,34.0,58.5,58.5,58.5,58.5,72.0,72.0,72.0,72.0,83.0,83.0,83.0,100.0,100.0,100.0,112.5,112.5,112.5,112.5,112.5,128.0,128.0,128.0,128.0,137.5,137.5,137.5,155.5,155.5,155.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5,172.5
abhinav manohar,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,31.5,31.5,36.5,36.5,36.5,36.5
mohammed shami,0.0,11.5,11.5,11.5,11.5,22.5,22.5,22.5,29.5,29.5,29.5,29.5,44.0,44.0,44.0,63.5,63.5,63.5,63.5,63.5,63.5,66.5,66.5,66.5,66.5,66.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5
ravi bishnoi,0.0,0.0,15.0,15.0,15.0,26.5,26.5,26.5,26.5,26.5,35.0,35.0,35.0,44.0,44.0,44.0,44.0,55.5,55.5,55.5,55.5,68.5,68.5,87.0,87.0,87.0,87.0,87.0,94.0,94.0,94.0,98.0,98.0,98.0,98.0,98.0,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,116.5,116.5,116.5,121.5,121.5,121.5,121.5,121.5,121.5,121.5
nitish rana,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,47.5,47.5,47.5,47.5,47.5,47.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,55.0,55.0,55.0,77.0,77.0,77.0,80.5,80.5,80.5,80.5,80.5,96.5,96.5,96.5,96.5,99.0,99.0,99.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0
shivam dube,0.0,8.5,8.5,8.5,8.5,8.5,17.0,17.0,26.5,26.5,26.5,26.5,26.5,26.5,32.5,32.5,32.5,47.0,47.0,47.0,54.5,54.5,54.5,69.0,69.0,69.0,69.0,69.0,69.0,88.0,88.0,88.0,88.0,88.0,93.0,93.0,93.0,93.0,93.0,95.5,95.5,95.5,99.0,99.0,99.0,99.0,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,114.5,126.5,126.5,126.5,126.5,126.5,139.5,139.5,139.5,139.5
