Raghav,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63,day_64,day_65,day_66,day_67,day_68,day_69,day_70,day_71,day_72,day_73,day_74,day_75
ryan rickelton,0.0,11.5,11.5,11.5,11.5,11.5,11.5,19.5,19.5,49.5,49.5,49.5,49.5,57.0,57.0,57.0,69.5,69.5,69.5,69.5,69.5,69.5,94.5,94.5,94.5,94.5,109.5,109.5,109.5,125.5,125.5,125.5,135.5,135.5,135.5,135.5,164.5,164.5,164.5,164.5,192.5,192.5,192.5,192.5,192.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,212.0,212.0,212.0,212.0,212.0,224.5,224.5,224.5,224.5,224.5,224.5,224.5,224.5,224.5,224.5
jitesh sharma,10.0,10.0,10.0,10.0,10.0,10.0,18.5,18.5,18.5,18.5,18.5,37.0,37.0,37.0,37.0,37.0,56.0,56.0,56.0,61.0,61.0,61.0,63.5,63.5,63.5,63.5,63.5,66.0,66.0,71.0,71.0,71.0,71.0,90.0,90.0,90.0,92.5,92.5,92.5,92.5,92.5,92.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,107.0,107.0,107.0,107.0,150.5,150.5,158.0,158.0,158.0,158.0,158.0,172.5,172.5
rinku singh,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,24.5,24.5,24.5,24.5,24.5,49.0,49.0,49.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,77.0,77.0,77.0,77.0,77.0,90.5,90.5,90.5,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0
avesh khan,0.0,0.0,0.0,0.0,0.0,8.5,8.5,8.5,8.5,8.5,13.5,13.5,13.5,25.0,25.0,25.0,25.0,38.5,38.5,38.5,38.5,48.0,48.0,60.0,60.0,60.0,60.0,60.0,79.0,79.0,79.0,88.0,88.0,88.0,88.0,88.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,119.0,119.0,119.0,130.0,130.0,130.0,130.0,130.0,138.5,138.5,138.5,138.5,138.5,138.5,138.5,138.5,138.5
harpreet brar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,52.5,52.5,52.5,52.5,52.5,52.5,68.0,68.0,76.5,76.5,76.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5
tim david,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,27.5,27.5,27.5,27.5,27.5,32.5,32.5,32.5,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,82.0,82.0,87.0,87.0,87.0,87.0,97.0,97.0,97.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
ms dhoni,0.0,2.5,2.5,2.5,2.5,2.5,19.5,19.5,28.0,28.0,28.0,28.0,28.0,28.0,38.0,38.0,38.0,53.5,53.5,53.5,53.5,53.5,53.5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,77.5,77.5,77.5,77.5,77.5,86.0,86.0,86.0,89.5,89.5,89.5,89.5,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,101.5,101.5,101.5,101.5,101.5,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0
nathan ellis,0.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
jasprit bumrah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.5,7.5,7.5,7.5,21.0,21.0,21.0,21.0,32.5,32.5,32.5,48.5,48.5,48.5,60.0,60.0,60.0,60.0,88.0,88.0,88.0,88.0,112.5,112.5,112.5,112.5,112.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,134.5,157.0,157.0,157.0,157.0,157.0,175.5,175.5,175.5,175.5,190.0,190.0,196.0,196.0,196.0,196.0
shashank singh,0.0,0.0,0.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,42.5,42.5,42.5,42.5,45.5,45.5,45.5,51.5,51.5,51.5,51.5,51.5,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,68.5,68.5,68.5,68.5,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,110.0,110.0,110.0,110.0,110.0,110.0,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,141.0,141.0
