Sriram KM,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63,day_64,day_65,day_66,day_67,day_68
travis head,0.0,33.0,33.0,33.0,33.0,56.0,56.0,56.0,66.0,66.0,66.0,66.0,68.5,68.5,68.5,73.5,73.5,73.5,73.5,73.5,73.5,109.0,109.0,109.0,109.0,109.0,121.5,121.5,121.5,121.5,121.5,121.5,121.5,121.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,149.0,149.0,185.0,185.0,185.0,185.0
abhishek sharma,0.0,18.5,18.5,18.5,18.5,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,41.0,41.0,41.0,41.0,41.0,41.0,111.0,111.0,111.0,111.0,111.0,128.5,128.5,128.5,128.5,128.5,128.5,134.5,134.5,144.5,144.5,144.5,144.5,144.5,144.5,144.5,178.0,178.0,178.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,211.0,211.0,211.0,211.0,231.5,231.5,255.0,255.0,255.0,255.0
heinrich klaasen,0.0,18.5,18.5,18.5,18.5,27.0,27.0,27.0,39.0,39.0,39.0,39.0,59.0,59.0,59.0,70.0,70.0,70.0,70.0,70.0,70.0,78.5,78.5,78.5,78.5,78.5,93.0,93.0,93.0,93.0,93.0,93.0,122.5,122.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,151.0,151.0,151.0,151.0,165.5,165.5,214.5,214.5,214.5,214.5
jaydev unadkat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,50.0,50.0,50.0,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,75.0,75.0,100.5,100.5,100.5,100.5
reece topley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
josh inglis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,12.5,12.5,23.5,23.5,23.5,23.5,23.5,23.5,28.5,28.5,28.5,28.5,36.0,36.0,36.0,36.0,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,67.0,67.0,102.5,102.5,102.5
nitish kumar reddy,0.0,13.5,13.5,13.5,13.5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,29.5,29.5,29.5,37.0,37.0,37.0,37.0,37.0,37.0,39.5,39.5,39.5,39.5,39.5,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,73.0,73.0,73.0,73.0,80.5,80.5,86.5,86.5,86.5,86.5
sai kishore,0.0,0.0,0.0,22.5,22.5,22.5,22.5,32.0,32.0,32.0,32.0,52.5,52.5,52.5,52.5,66.5,66.5,66.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,89.5,89.5,97.0,97.0,97.0,97.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0,102.0,102.0,102.0,102.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,126.0,126.0,126.0,126.0,136.5,136.5,136.5,143.0,143.0,143.0,143.0
tristan stubbs,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,29.0,29.0,29.0,29.0,29.0,29.0,40.0,40.0,40.0,40.0,40.0,53.5,53.5,53.5,56.0,56.0,56.0,70.0,70.0,70.0,81.0,81.0,81.0,83.5,83.5,83.5,83.5,83.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,116.5,116.5,116.5,116.5,116.5,116.5,131.5,131.5,131.5,131.5,131.5
suyash sharma,0.0,11.5,11.5,11.5,11.5,11.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,32.5,32.5,32.5,48.0,48.0,48.0,53.0,53.0,53.0,53.0,53.0,64.5,64.5,78.5,78.5,78.5,78.5,86.5,86.5,86.5,94.5,94.5,94.5,94.5,94.5,94.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,103.0,103.0,103.0,103.0,107.0,107.0
