Sriram V,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49
andre russell,2.5,2.5,2.5,2.5,5.0,5.0,5.0,5.0,5.0,18.5,18.5,18.5,31.0,31.0,31.0,31.0,31.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,51.5,51.5,51.5,51.5,51.5,51.5,68.0,68.0,68.0,68.0,68.0,75.5,75.5,75.5,95.0,95.0,95.0,95.0,95.0,128.5,128.5,128.5,154.0,154.0,154.0
venkatesh iyer,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,35.5,35.5,35.5,35.5,35.5,54.0,54.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,60.5,60.5,60.5,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
varun chakaravarthy,10.5,10.5,10.5,10.5,30.5,30.5,30.5,30.5,30.5,39.5,39.5,39.5,61.0,61.0,61.0,61.0,61.0,70.0,70.0,70.0,90.5,90.5,90.5,90.5,107.5,107.5,107.5,107.5,107.5,107.5,114.5,114.5,114.5,114.5,114.5,126.0,126.0,126.0,141.0,141.0,141.0,141.0,141.0,158.0,158.0,158.0,179.5,179.5,179.5
david miller,0.0,0.0,12.0,12.0,12.0,19.5,19.5,19.5,19.5,19.5,27.0,27.0,27.0,38.0,38.0,38.0,38.0,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,45.5,45.5,45.5,45.5,45.5,53.0,53.0,53.0,53.0,53.0,53.0,53.0,59.0,59.0,59.0,59.0,59.0,59.0
hardik pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,35.0,35.0,35.0,35.0,71.0,71.0,71.0,107.5,107.5,107.5,107.5,107.5,107.5,111.5,111.5,111.5,111.5,132.0,132.0,132.0,136.0,136.0,136.0,145.5,145.5,145.5,145.5,147.5,147.5,147.5,147.5,173.5,173.5,173.5,173.5,173.5,174.5,174.5,174.5,174.5
shamar joseph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angkrish raghuvanshi,0.0,8.5,8.5,8.5,16.0,16.0,16.0,16.0,16.0,27.0,27.0,27.0,46.5,46.5,46.5,46.5,46.5,49.0,49.0,49.0,49.0,49.0,49.0,49.0,65.0,65.0,65.0,65.0,65.0,65.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,90.5,90.5,90.5,90.5,90.5,103.0,103.0,103.0,105.5,105.5,105.5
mujeeb ur rahman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
ishan kishan,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,56.0,56.0,56.0,56.0,56.0,56.0,58.5,58.5,58.5,58.5,58.5,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,89.5,89.5,89.5,89.5,89.5
shreyas iyer,0.0,0.0,0.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,65.5,65.5,65.5,65.5,73.0,73.0,73.0,76.5,76.5,76.5,76.5,112.5,112.5,112.5,115.0,115.0,115.0,115.0,115.0,117.5,117.5,117.5,117.5,117.5,117.5,123.5,123.5,123.5,123.5,152.5,152.5,152.5,152.5,169.5,169.5,169.5,169.5,169.5,169.5
karun nair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,47.5,47.5,47.5,47.5,47.5,62.5,62.5,62.5,71.0,71.0,71.0,71.0,71.0,79.0,79.0,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
