Vasanth,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44
virat kohli,20.5,20.5,20.5,20.5,20.5,20.5,29.0,29.0,29.0,29.0,29.0,31.5,31.5,31.5,31.5,31.5,61.0,61.0,61.0,70.5,70.5,70.5,90.0,90.0,90.0,90.0,90.0,90.0,90.0,112.5,112.5,112.5,112.5,139.5,139.5,139.5,153.5,153.5,153.5,153.5,153.5,153.5,183.5,183.5
phil salt,29.5,29.5,29.5,29.5,29.5,29.5,53.0,53.0,53.0,53.0,53.0,59.0,59.0,59.0,59.0,59.0,64.0,64.0,64.0,84.5,84.5,84.5,118.0,118.0,118.0,118.0,118.0,123.0,123.0,123.0,123.0,123.0,123.0,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5
rajat patidar,16.0,16.0,16.0,16.0,16.0,16.0,36.5,36.5,36.5,36.5,36.5,41.5,41.5,41.5,41.5,41.5,68.0,68.0,68.0,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,82.5,82.5,85.0,85.0,85.0,85.0,87.5,87.5,87.5,90.0,90.0,90.0,90.0,90.0,90.0,92.5,92.5
akash madhwal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,9.0
krunal pandya,18.5,18.5,18.5,18.5,18.5,18.5,25.0,25.0,25.0,25.0,25.0,30.5,30.5,30.5,30.5,30.5,52.5,52.5,52.5,56.0,56.0,56.0,65.5,65.5,65.5,65.5,65.5,67.5,67.5,87.0,87.0,87.0,87.0,102.0,102.0,102.0,137.0,137.0,137.0,137.0,137.0,137.0,148.0,148.0
t natarajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rishabh pant,0.0,0.0,6.5,6.5,6.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,15.0,15.0,15.0,15.0,25.0,25.0,49.0,49.0,49.0,49.0,49.0,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,54.0,54.0,54.0,54.0,54.0,54.0,54.0,62.5
bhuvneshwar kumar,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,28.0,28.0,28.0,28.0,28.0,40.5,40.5,40.5,59.5,59.5,59.5,71.0,71.0,71.0,71.0,71.0,87.5,87.5,96.5,96.5,96.5,96.5,113.5,113.5,113.5,138.0,138.0,138.0,138.0,138.0,138.0,143.0,143.0
marco jansen,0.0,0.0,0.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,24.5,24.5,24.5,24.5,35.0,35.0,35.0,51.0,51.0,51.0,51.0,53.0,53.0,53.0,75.5,75.5,75.5,98.5,98.5,115.0,115.0,115.0,115.0,115.0,115.0,119.0,119.0,119.0,119.0,144.0,144.0,144.0,144.0,164.0
wanindu hasaranga,0.0,0.0,0.0,0.0,5.5,5.5,5.5,5.5,31.5,31.5,31.5,31.5,31.5,31.5,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,49.0,49.0,49.0,61.0,61.0,61.0,76.0,76.0,76.0,76.0,76.0,83.5,83.5,83.5,83.5,88.5,88.5,88.5,88.5,88.5,88.5,94.5
devon conway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,27.0,27.0,27.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
kuldeep yadav,0.0,0.0,24.5,24.5,24.5,24.5,24.5,24.5,48.0,48.0,48.0,48.0,48.0,48.0,55.5,55.5,55.5,55.5,55.5,73.5,73.5,73.5,91.5,91.5,91.5,102.0,102.0,102.0,115.0,115.0,115.0,119.0,119.0,119.0,119.0,119.0,127.0,127.0,134.0,134.0,134.0,134.0,134.0,134.0
pat cummins,0.0,9.0,9.0,9.0,9.0,38.0,38.0,38.0,40.0,40.0,40.0,40.0,59.5,59.5,59.5,82.0,82.0,82.0,82.0,82.0,82.0,93.5,93.5,93.5,93.5,93.5,120.5,120.5,120.5,120.5,120.5,120.5,127.5,127.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,159.0,159.0,159.0
spencer johnson,9.5,9.5,9.5,9.5,22.0,22.0,22.0,22.0,22.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
